userName;score;at;content;;
Fernanda Cahya;1;30/03/2023 12:08;Untuk user gopaylater yang tinggal di jateng sih kebanyakan gajian tanggal 5 ya. Kalo mau ikut pihak gojek ya gimana ya yang gajian tanggal segitu. Kena denda mulu. Atau apk ini hanya untuk yang gajian tanggal 1 kurang?;;
Amoy Diva Naura;5;30/03/2023 12:02;Bagus;;
JV bee;2;30/03/2023 12:02;Kenapa ya kok gak bisa upgrade ke gopay plus ya? Padahal lagi butuh banget;;
Raden MasTaka AluGaming Official;1;30/03/2023 11:57;Payah;;
RUSIDI (Rosi);1;30/03/2023 11:44;Harusnya di daerah Pamekasan gak usah di pakai gojek,sebab gak ada karyawanya,lagian saya memilih gojek atau gocar gak direspon selama dua hari.;;
ayu destalia;1;30/03/2023 11:32;Banyak driver ngeluh soal tarif yang gak manusiawi;;
Lia salon;1;30/03/2023 11:22;Driver di putus mitra nggak jelas alasannya Doain Bangkrut secepatnya Amin YRA;;
Gudeg Ceker Racer;1;30/03/2023 11:13;ini gimana sih, mau transaksi pake gopay gabisa disuruh update mulu padahal dah update mentok;;
isye yolanda;5;30/03/2023 11:12;drivernya oke oke baik dan sabar juga;;
Endra Wati;5;30/03/2023 10:55;Gojek sangat membantu saya saat berpergian;;
suwito adi prasetya gojek sby;5;30/03/2023 10:52;pas d gunakan untuk pembayaran gk bsa d gunakan. padahal udh gk bawa uang lagi dana ada d gopay. menjengkelkan buang waktu malu maluin aja. payah;;
Ivan Aditya;1;30/03/2023 10:51;Update terbaru bulan Maret 2023 terjadi error tidak bisa gunakan fitur minta gopay ke keluarga atau teman, terjadi kesalahan pada fitur tersebut, tolong segera di perbaiki.;;
Rosida Sitinjak;5;30/03/2023 10:51;terimaksih byk pak atas bantuan nya;;
rigen adv;5;30/03/2023 10:50;Memudahkqn urusan;;
Hanif rabbani;1;30/03/2023 10:49;apaa ..? order food di gabung dengan customer lain..sia sia kami belanja;;
Hendra Wijaya;5;30/03/2023 10:44;akhirnya setelah 3x24 jam udah bisa tf k bank lain. terima kasih responnya;;
Fery Eri;1;30/03/2023 10:36;Pelit;;
GAYATRI;5;30/03/2023 10:35;BAGUS;;
Eengsuhendar Suhendar;5;30/03/2023 10:35;Mantap;;
ANDI SUBANDI;5;30/03/2023 10:35;Coba dulu ya moga berhasil upgred gopay plus klo ga bisa juga turun ranting.;;
angga putra;5;30/03/2023 10:33;Pelayanan bagus;;
Riyan Priyantoro;1;30/03/2023 10:31;"Tiba"" akun hrs upgrade ke gopplus padahal sy pengguna dr tahun 2016 n smua transaksi berantakan";;
Nathalia Sby;5;30/03/2023 10:30;Promonya selalu mantull;;
Vino Bastian;1;30/03/2023 10:29;Hilang kan orderan gabungan yg membuat kami memesan makanan merasa tidak nyaman;;
Pasha As;2;30/03/2023 10:29;Layanan gosend makin ga jelas sampe beberapa kali ganti driver, di cancel Mulu heran.. tolong dong dipantau lagi para driver nya;;
Johny Ramdani;1;30/03/2023 10:16;Knp status nya di turunin manfaat nya apa sih buat gojek. Gopay plus gw jadi ga bisa di pake.. ktp saya lagi rusak.. bikin susah orang aja.. udah mah tf antar bank bayar. Pesen ada biaya layanan yg jelas.. mitra mitra pd sulit..pula lagi... Gojek jadi udh ga work it lagi buat di instal di hp ku;;
setiabudi aluminium;5;30/03/2023 10:15;Top markotop;;
Ikke Nurjanah;1;30/03/2023 10:12;Sebel banget, kenapa gk ada vitur buat batalin driver nunggu lama driver nya gk dateng², kan jadi buang² waktu saya telat berangkat kerja;;
07. Della febrianti;1;30/03/2023 10:11;gajelassss sinyal bagusss tpi buat mesan lemottt nya ga ketulung;;
Retno Ardianti;1;30/03/2023 10:11;Ngk bagus ngk bisa pinjam bohong j;;
Ridho Wahyu;5;30/03/2023 10:11;Pokok nya mantap...jagan tanya alasan nya aps....;;
Dava adzi Viqri;5;30/03/2023 10:00;Okeee;;
Siswadi Siswadi;5;30/03/2023 09:42;Asyik;;
Anang Anwar;5;30/03/2023 09:41;Aplikasi ok;;
xr vizard;1;30/03/2023 09:38;BELI TAPCASH BNI KAGA MASUK PAKE GOPAY.;;
Nurzaini dzen;1;30/03/2023 09:37;Ongkos semakin mencekik, tidak ada voucher lg.. terlalu mahal;;
kiki krisman;2;30/03/2023 09:25;Kok jadi ribet? harus ngisi nama sama nomor telepon lagi buat tempat pengambilan sama tujuan. padahal biasanya otomatis kalo orderan nya udah pernah;;
syafi 7791;5;30/03/2023 09:25;Semakin hari bukannya makin canggih.tapi makin buruk pelayanannya .terutama pembayaran yg lewat gopay.disuruh upgrade.tapi setelah upgrade tdk bisa.dgn alasan saya anda sudah terdaftar digopay yg lain.bikin susah orang saja sekarang gojek.jika terusenerus kayak gini.tunggu saja gojek akan menyusul OVO.tidur yg berkelanjutan.;;
asep;1;30/03/2023 09:21;buruk;;
Ahyar Fatuh rahman;5;30/03/2023 09:13;Mantap;;
yustina patricia;5;30/03/2023 09:08;Cepat & bersahabat;;
Siska Artati;5;30/03/2023 08:54;Slalun tepat waktu, ada diskon dan voucher;;
Syaepudin Syaepudin;5;30/03/2023 08:53;Ok pokoknya;;
Wendikaka Muamar17;5;30/03/2023 08:48;Membantu keseharian masyarakat semoga wilayah wilayah kecil juga bisa makin banyak yang terjangkau;;
Affan Nurfalah;5;30/03/2023 08:13;Penjemputan sll tepat waktu;;
Achmad Baihaqi;5;30/03/2023 08:09;Sangat bagus aplikasi nya;;
Rindi 99;5;30/03/2023 08:02;Bagus, sesuai kebutuhan konsumen;;
reymon nempung;5;30/03/2023 07:55;Sangat baik;;
Alena Gristin;5;30/03/2023 07:19;Seneng pake aplikasi go jek pokoke;;
Devi Ariyani80;5;30/03/2023 07:06;Suka;;
Asrof Ubaid;5;30/03/2023 06:56;naik gohek dijemput dan diantar...oke;;
Siti Sunarti;5;30/03/2023 06:48;ok;;
Zarot Aja;5;30/03/2023 06:33;Masih ada aja konsumen yg bodoh dan tolol yg mempermainkan orderan dengan alasan kepencet lah dan lain lain ingat karma berlaku buat anda yg suka cencel orderan;;
Triyono;5;30/03/2023 06:22;Oke banget;;
Asha Insan;1;30/03/2023 06:17;Ini udah top up tapi ko aplikasinya muter lama banhet ya gabisa ke buka2, nyesel juga top up;;
ikhwan ridwan;1;30/03/2023 06:09;Saya pesen gofood harganya mahal banget masa jarak 3 kilo 50 RB yang bener ajaa;;
Lady Marcielly;5;30/03/2023 05:50;Selalu puas dengan pelayanannya 🙏😊;;
007 Ibnu Syauqi Rizky yazid;5;30/03/2023 05:38;Pakai, Gojek, nyaman.;;
Dhydhy Sulistiawan;1;30/03/2023 05:23;ok;;
Juju Zuhriyah;1;30/03/2023 05:00;Sejak ganti owner kaya rentenir. Smpe gofood aja mahal bgt. Dulu pak nadim ga kaya gini. Uninstall;;
INFO CHANNEL;5;30/03/2023 04:40;BISA DIANDALKAN DALAM KONDISI URGENSI;;
Red Devil;1;30/03/2023 03:55;Gopay tf nyangkut gak masuk...belum saatnya layani tf bank sekali nyangkut ber hari hari gak msuk Udah habitat dompet OJOL...;;
Mamat Wibu;4;30/03/2023 03:34;aplikasi yang sangat membantu kehidupan sehari-hari;;
Wady Ganden;5;30/03/2023 03:12;Sangat membantu;;
Saipul Akmad;2;30/03/2023 02:46;Tolong diberikan penghapusan transaksi demi kenyamanan dan supaya aman alangkah baiknya terverifikasi terlebih dahulu sebelum menghapus akun mohon di pertimbangkan lagi untuk kenyamanan 😊😌😇;;
Achmad Zainudin;5;30/03/2023 02:41;Saya suka sekali dengan adanya gojek,karna selain mudah untuk di pesan,ditambah lagi fitur yg semakin canggih,tolong di kembangkan lagi agar semakin maju dan berkembang untuk gojek indonesia.;;
LORD INGUSAN;5;30/03/2023 02:37;Jangan Kebanyakan Biaya ini itu Jek..;;
Andi Subandi;1;30/03/2023 02:19;4 bintang dulu aja soalnya saya udah beberapa kali upgred gopay plus gagal mulu.;;
Herman Sutanto;2;30/03/2023 02:14;Driver tidak diperhatikan masalah penghasilan, menurunkan kepercayaan customer terhadap komitmen gojek dalam jasa pelayanan. Saya lihat keluhan keluhan driver maupun customer sering diabaikan. Bahkan cenderung seperti tidak peduli.;;
Uney Hokkie;5;30/03/2023 01:45;Tambah simpell bagus ni apk yah;;
Sekayu Muba;5;30/03/2023 01:43;sangat bagus;;
CHENNEL METTA FAMILY;5;30/03/2023 01:40;mantap sangat membantu;;
JAKA HAYAJI (Kaka);1;30/03/2023 01:28;Lemot.. kesian liet driver gojek pada melongo,nyender bengong dbl. Banyak customer ngeluh aplikasi ini lemot dan tarif yang ga bisa konsisten. Beda ama aplikasi sebelah ga kebanyakan menu juga mudah digunakan. Gojek mo tarifnya murah juga kalo lemot males order jek. Tolong diperbaiki kasihanilah drivermu jek. Banyakin promo jek...jangan banyakin swadaya oli murah,paket data murah dbl, tapi promoin biar order melimpah juga aplikasi customer dibagusin.Dulu hape ram 256mb aje masih bisa order.MIKIR;;
Andrie Baran;1;30/03/2023 01:13;Mahal potongan nya;;
Febriansyah Pebri;5;30/03/2023 01:13;Kenapa dana goto/saham .saya belum juga tampil iy????????;;
ojek maxim;1;30/03/2023 01:11;Apaan pay laternya gajelas blasss, baru juga order tanggal 30 maret 2023, kok temponya tanggal 31 maret 2023, paylater apanya sehari setelahnya udah tempo aja, mana harus bayar biaya admin perbulannya 10ribu, galagi lagi dah pake paylater, mulai nipu nih aplikasi, apa bedanya sama bayar langsung pake rekening kalo begitu ceritanya, sumpah hapus aja ini aplikasi jangan lagi lagi dipake dah;;
Siti Handayani;5;30/03/2023 01:02;apikasi bagus mudah di pahami dan sangat membantu;;
Irawan Irawan;5;30/03/2023 01:02;Susah untuk di Download;;
F G;5;30/03/2023 01:00;Pakai gojek jauh lebih gampang dan aman bosku;;
Duri riau;5;30/03/2023 00:53;Menyenangkan;;
Evi Mala;5;29/03/2023 23:59;Bagus kok;;
Ghon Choq;4;29/03/2023 23:55;Ok bagus;;
Farel Saputra;5;29/03/2023 23:45;Buruan download di jamin ga bkl nyesel;;
aldira gomax;1;29/03/2023 22:55;Wat para costumer tolong lah kasih rating bintang 1 biar IT 2 dongk yang di gojek mikir kasihan driver ya pada kelaperan di jalan Tolong pehatikan driver anda kasihan banyak yang kelaperan dan kesulitan dapat order Mereka butuh makan butuh bensin butuh uang wat istri butuh susu wat anak PA nunggu driver mati kelaperan pa di jalan Nyiksa driver jangan begini cara ya bosss;;
Kimi Hime;1;29/03/2023 22:55;Cashback gopay coins tidak masuk padahal sudah memenuhi syarat dan ketentuan;;
Erma Octaviani;5;29/03/2023 22:50;Promoo nyaa donk;;
Cappucino;2;29/03/2023 22:32;Ada tambahan biaya layanan yg lumayan mahal menurut saya .maaf;;
Ariief Sinantra;1;29/03/2023 22:25;Kasih driver . . Jeda bisa sampe 5 jam;;
Heri Permana;5;29/03/2023 22:18;Ok gojek the best;;
opek 420;5;29/03/2023 22:06;Bagus;;
Basitbarri Barri;5;29/03/2023 22:00;menyenangkan trima kasih;;
Nur Syamsu;5;29/03/2023 22:00;Mantap 👍;;
Taufik Ismail;2;29/03/2023 21:58;OK;;
Jalan Cerita;1;29/03/2023 21:56;Aplikasi buruk;;
Hermawan mawan;5;29/03/2023 21:54;Aplikasi yang sangat membantu banget;;
Dede Solehudin;5;29/03/2023 21:52;Mantappppp;;
Satria Alam;1;29/03/2023 21:49;Gojek skrg cashback gopay koin,,,, gak menarik;;
Sari Hariati Duhrkop;5;29/03/2023 21:45;good driver ramah deh ok;;
Miftah Hilman;1;29/03/2023 21:45;Udah gopay plus malah di balikin jadi gopay biasa lagi.. proses nya ribet dan lama..mau transfer jadi gak bisa langsung;;
Is Kandar;5;29/03/2023 21:40;Mantap;;
Queen eyelash Lampung;1;29/03/2023 21:38;Semenjak ada biaya pelayanan jdi ngeri mau pesen gofood lgi gede di ongkir sm biaya pelayanan dri pda jumlah pesanan;;
Zabal Rohmah;5;29/03/2023 21:37;Bagus;;
Amy Priswanti;1;29/03/2023 21:26;Saya bayar, sebelum bayar udah dipastikan voucher nempel. Pas udah bayar, malah voucher gak dihitung nempel & gak dpt cashback. Aplikasi Penipu!! 👎👎👎👎👎;;
Ridwan Hakim88;1;29/03/2023 21:23;Terima kasih dengan ada nya maxim jd kebantu;;
rahmat bhule;5;29/03/2023 21:23;semua jd mudah;;
Dewi fatimah;1;29/03/2023 21:20;Bgmnh she masa udh gopay plus d balikin lg gopay biasa... Manah apdeddd data ktp sm foto gagal trs.... Jagan gadi2 nih sistem gak jelasss....;;
Siti Arsiah;4;29/03/2023 21:13;Sanagat bagus;;
ardio;5;29/03/2023 21:10;Berkat kamu aku bisa top up in temanku :];;
Elli Susanti;5;29/03/2023 20:56;Puas dengan pelayanannya dan sikap driver yang ramah;;
Hafiz Maulana23;1;29/03/2023 20:55;Memasukan pin yang benar knpa salah? Tolong kerja samnya;;
Sun Dari;1;29/03/2023 20:49;Ribet bangett mau ganti nomor telepon krrna udah gaaktif tunggu 30 jam.;;
RAFLY & GIBRAN TAFONAO;1;29/03/2023 20:45;Mau transfer eh... Upgrade... Gagal mulu di karenakn ktp blur... Emang gak ada solusi lain... Nik-nya gt... Apa NO. KARTU KELUARGA... Jangan di persulitlah...;;
Mumus Wahyudin;1;29/03/2023 20:42;Aplikasi busuk gak jelas. Mau transfer aja harus upgrade dlu. Bikin repot orng;;
Edo setiawan;1;29/03/2023 20:34;Mohon maaf bukannya mau menjelekkan pihak gojek, tapi setiap order motor ketika gerimis itu juga gak hujan kenapa tidak ada yg ngambil? Udah berapa kali coba tetap aja gak ada yg mau, beda dengan yg kuning cepat ngambil orderan dan langsung otw gak peduli gerimis sedikit aja. Kita juga ngasih lebih banyak tolong pihak gojek yg suka milih orderan di tegur kita menggunakan layanan kondisi sakit. Tolong perbaiki driver yg suka milih begitu. Makasih;;
yandi official;5;29/03/2023 20:29;mantap;;
Bajol ijo channel;5;29/03/2023 20:26;Mantap;;
BMJ Squad;1;29/03/2023 20:14;Saya udah mengajukan update gopay plus udah 1×24jam tapi masih proses proses aja tolong dong di respon gopay saya gk bisa digunakan jadinya;;
Pak Sur;1;29/03/2023 20:10;bisa ngasih bintang satu ,kenapa saya apgrede sudah 3 hari kog blom ada relisasi , gopay blom bisa di buat transaksi klo blom apgrede;;
engkos kosasih;5;29/03/2023 19:52;Bagus;;
keli sanjaya;5;29/03/2023 19:21;Auto uninstal sya ga bisa update k gopay plus karena poto ktp sya ga jls syng padahal saya sblmnya suka bngt pke aplikasi ini tp gpp msh ada aplikasi yg lain yg serupa;;
Saichu Anwar;5;29/03/2023 19:14;Gojem memang mantap buat bepergian kmanapun tujuanya,, baik driver dan pelayanan sangat memuaskan lengkap mantap, pokok'e jos mazeee;;
Oky Yoga;5;29/03/2023 19:10;Mantap;;
Rasoma Roma;2;29/03/2023 19:09;Aku saya gag bisa transfer gara gara coba klik gopay plus, udah 2 hari ngasih data belum di ACC juga ...gag bisa transfer antar bank jadinya;;
Yuliana Clp;5;29/03/2023 19:02;Mantap;;
Sani Al Hafeez;1;29/03/2023 19:01;Parah di aplikasi nya di suruh update gopay plus tapi gk di respon update ny jadi gopay saya gk bisa di transper gopay saya nya 500ribu lagi parah gojek sekarang gk kaya dulu;;
Nur mas;4;29/03/2023 18:57;Ini gimana sih saya sudah topup gopay dari rekening saya ke gopay. mau saya transfer ke gopay temen saya. tapi statusnya masih verifikasi terus udah lebih dari 1×24 jam statusnya masih verifikasi. lama bgt. saya udh nunggu nih cuman mau TF ke gopay temen aja ribet bgt.;;
Herbal Aththoifa;5;29/03/2023 18:46;Bagus;;
Karina Septiliana;1;29/03/2023 18:46;makin buruk, mending tutup.;;
Tri Nuryani;5;29/03/2023 18:46;Oke;;
agung Aditya;1;29/03/2023 18:44;Kenapsih skrng g ad lagi voucher promo gofood lagi.beda bgt ama dlu Tmbh kesini tambah jelek Masa iya g ad voucher terus lo suruh gw byr ongkir gtu apk jelek udh sukses Main ubah2 fitur aj G ush dowload jelek;;
ohja ngan;5;29/03/2023 18:38;Luar biasa;;
gefi siregar;5;29/03/2023 18:33;coba dikaji kembali untuk penambahan fitur trip ditiap minggu;;
T Dax;1;29/03/2023 18:11;Mahal banget bunga Gopay Pinjam dan biaya layanannya. Gak ada pilihan 12 bulan pula. ;;
Nuril Hidayah;5;29/03/2023 18:02;Terbantu krn tinggal online langsung datang gk perlu nunggu lama,terbantu sekali;;
Eko Yulianto;5;29/03/2023 17:58;Muda mengaplikasikannya;;
idora nainggolan;5;29/03/2023 17:54;Selain membantu antar jemput kita, gojek mengerti kebutuhan kita.... terima kasih telah menemani dan melayani kami;;
Suroso Sumeh;5;29/03/2023 17:49;Gojek ok 👍👍👍;;
yana kenari;5;29/03/2023 17:47;Jangan mempersulit cs;;
Elce;1;29/03/2023 17:46;burik ah males;;
Anto Eza;1;29/03/2023 17:41;Jadi ngeri transaksi pakai ini Dompet, transaksi berhasil motong saldo tapi di penerima Zonk!, Saat komplain di lempar ksana kmari berlarut larut entah bagaimana ujungnya sudah 10harian,,, masih menunggu dengan sabar.;;
Baswara Yudha Karana;4;29/03/2023 17:38;Aplikasi bagus buat alternatif berpergihan;;
Aldi Wijaya;1;29/03/2023 17:38;Mau pesan aplikasinya muterrrrr teros lemot. Kok malah nyalahin sinyal gua. sinyal lancar nonton youtube lancar buka aplikasi lain juga lancar emang aplikasi lu yang aneh malah nyalahin sinyal blokkkkkkkk;;
Harfi Kurniawan;1;29/03/2023 17:38;Upgrade wallet biar bisa transfer,di apk butuh waktu 1x24jam. Pas udah lebih 24jam ga berubah statusnya,mana pas butuh bgt kont...;;
Obiel Sugara;5;29/03/2023 17:21;Sangat efektif dan membatu;;
Eko Adi;5;29/03/2023 17:19;Bagus;;
Restu Yyyy;1;29/03/2023 17:17;Transaksi menggunakan pin gopay error,padahal udah benar pin nya tapi,tidak bisa transaksi;;
Danil Liem;1;29/03/2023 17:14;Parah memproses terus;;
Muhammad Kiman;4;29/03/2023 17:14;Semoga saya bisa lebih mudah dengan aplikasi gojek ini;;
Insan Mandiri;1;29/03/2023 17:14;Aplikasi iblis;;
Fatur Rohman;5;29/03/2023 17:12;promosinya banyakin dong;;
Ok Promosi;5;29/03/2023 17:05;Mantap;;
Daamxyz.;1;29/03/2023 17:02;sekrg udh kaga mantap, biaya layanan nambah terus kek utang negara;;
Ruben bogar;1;29/03/2023 16:49;DOMPET GOPAY SAYA DIBLOKIR DENGAN ALASAN YANG TIDAK JELAS.SAYA MENGALAMI KERUGIAN DENGAN HILANGNYA SALDO SAYA.KEMBALIKAN UANG SAYA;;
Deden Chudenz;1;29/03/2023 16:36;Yang anyep makin sengsara yang gacor makin gacor plis deh jek kasih yang akun anyep mereka juga Mitra sia;;
Siti Maryam;5;29/03/2023 16:35;Top banget...;;
Eko Susanto;1;29/03/2023 16:34;Kebanyakan biaya, pantes murah pendatang baru;;
Muzhar Harun;5;29/03/2023 16:23;memuaskan;;
Bambang Hariyanto;5;29/03/2023 16:21;kami sangat puas atas jasa nya.;;
pejuang gamers;5;29/03/2023 16:19;mantap;;
Akun Heru;5;29/03/2023 16:19;Mantul;;
fikri firjatulloh;5;29/03/2023 16:17;Aplikasi yg sangat membantu;;
Achmad Syakdullah;5;29/03/2023 16:09;mantab gopaylater. mudah mudahan saya dapat kenaikan limit. makasih gopaylater. aku makin cinta;;
Wisam Fauzan;1;29/03/2023 16:09;Bintang satu karena akun gojek saya tidak di buka blokiran nya;;
Deron Citro;1;29/03/2023 16:04;Gk bisa minta uang ke orang lain. Katanya suruh update. Sudah saya update tapi tetap nggak bisa;;
Agustus Hia;5;29/03/2023 16:03;Bagus;;
Satria Wira Wardana;1;29/03/2023 15:57;Apaan masa minta benerin akun yg ke blokir dari tahun kemaren sampe tahun ini kaga bener bener respon nya cuma bgitu doang parahh amat mending uninstall ajhh bosss;;
Nabila Nugroho;1;29/03/2023 15:52;Versi naik terus tpi orderannya mana;;
Edy Taylor;1;29/03/2023 15:51;Tidak ada layanan mobil;;
Arwan Syah;5;29/03/2023 15:49;Kenapa ya saya sudah 2 kali daftar gopal later selalu di tolak;;
Agha Gavinsyah;5;29/03/2023 15:36;mohon untuk pengantaran double ordernya dihilangkan. karena hal ini sangat merugikan customer.. pengantaran pesanan jadi makin lama.;;
Sani Sani;1;29/03/2023 15:22;Hati hati pake gopay. Jangan banyak banyak narok saldo di gopay. Punya saya tiba-tiba akun gopay di bekukan dan tidak bisa buka kembali padahal masih banyak saldo di sana. Aplikasi kurang ajar. Saya sumpahin bangkrut susah idup nya buat tim gopay yg terlibat kena karmanya amin.;;
Land Dermawan;5;29/03/2023 15:21;Tolong dibantu n di respon dengan cepat... Karena tdi pada saat saya mau transfer saldo GO-PAY, tiba2 minta upgrade dengan keterangan ada indikasi perbedaan dgn KTP... Pdahal semua sudah benar n akun gojek saya g bermasalah, tpi tiba2 saya harus update jdi GO-PAY plus...;;
Pengguna Google;5;29/03/2023 15:12;Kenapa lama sekali upgrade Gopay plus saya ?;;
imam rasyidi;4;29/03/2023 15:07;Bagus;;
Muh syam syam;1;29/03/2023 15:03;Mohon maaf di aplikasi Gopay tdk ada fitur tarik tunai nya;;
Ari Wibowo;5;29/03/2023 15:02;Ok;;
Rahman Farida;5;29/03/2023 15:00;Okok;;
Indra G;1;29/03/2023 14:59;Gausah notif notif gajelas ganggu terus;;
SFL GzGanzo;4;29/03/2023 14:53;Kemaren di rating sama temen;;
Failasup Yusup;5;29/03/2023 14:52;"Tolong pihak goto dpt drever jauh""";;
Kenisya Putri;5;29/03/2023 14:52;driver nya ramah dan cepat;;
Chairul Oktaviansyah;1;29/03/2023 14:49;Mahal, mending Grab, lebih murah;;
ARFAN GAMING HD ARFAN GAMING HD;5;29/03/2023 14:49;Aplikasih ini sangat membantu saya dalam belanja buat puasa🗿👍;;
Indra Boy;5;29/03/2023 14:48;Mantap;;
Rosyid;5;29/03/2023 14:48;Mantap;;
Mohamad Syarief;1;29/03/2023 14:46;Knpa sya gk bsa tf dri gopay ke bank masa msih di ferivikasi trus kpan klarnya.;;
Andi F;1;29/03/2023 14:44;MALING GOPAY!!!;;
Samin Samin;1;29/03/2023 14:41;Kasian driver potongannya sampai 30/100;;
Mas Wan;5;29/03/2023 14:40;Mohon bertanya, saya ingin menjadi mitra go patner / gocar, kebetulan saya punya mobil xenia tahun 2016 atas nama PT, stnk bpkb faktur lengkap dan SPH (surat pelepasan hak) ada. Bisa kah mobil xenia 2016 atas nama pt ikut berganung menjadi mitra gopatner atau gocar. Mohon di jawab terimakasih🙏;;
Made Seruni;5;29/03/2023 14:36;pokoknya sangat membantu ya🤗;;
Alinviansa Widdani;5;29/03/2023 14:33;gojek membantu segala aspek kehidupan saya;;
Alwi Maulana;4;29/03/2023 14:24;Mayan;;
Fajar Miftakhurrohman;5;29/03/2023 14:10;Upgrade gopayPlus dari semalem masih di proses Mulu, ga kelar2 Ayolah jangan kelamaan gan🙏;;
djossie WIDI;5;29/03/2023 14:09;Oke bantu banget;;
muhammad zidane;2;29/03/2023 14:01;Parah untuk ongkirnya apa lgi klo Gofood parah bgt;;
Harini Mulatsih;5;29/03/2023 14:00;Driver ramah, sopan dan apal medan;;
Iman Wahyu;1;29/03/2023 13:53;Verpikasi ktp dengan cara maksa dan sangat lama.;;
Zahra Khoirunnisa;5;29/03/2023 13:47;Terimakasih Gojek pelayanan sangat memuaskan;;
Rinda Ikhsanudin;5;29/03/2023 13:40;Ok keren dech;;
Yogi Ruslan;5;29/03/2023 13:39;Baik;;
Didit Yosep;1;29/03/2023 13:39;proses upgrade lambat;;
Naga Bulan;5;29/03/2023 13:27;Okeeeeee;;
Xiaomi Redmi6a;5;29/03/2023 13:23;Apknya Mantap;;
Muhammad Rival;5;29/03/2023 13:19;Mantap pelayanan nya;;
yoga arisya tama;1;29/03/2023 13:14;Kecewa dengan tanggihan gopay latter yg sangat tinggi Bungan nya makanya gue unistaall;;
dico adhiyanto;2;29/03/2023 13:06;admin knpa proses verifikasi identitasnya nya lamaaaa, udah ditunggu ngga bisa buat transfer antar gopay.;;
ary kudo;5;29/03/2023 12:54;Saya mau upgrade ke gopay plus, sudah 2 hari kok belum terverifikasi? Dan status masih pending;;
Mangasi Manik;5;29/03/2023 12:54;Memuaskan;;
Ahmad Wijaya;1;29/03/2023 12:39;Kenapa promonya selalu berubah min, padahal lumayan buat ladang cari rezeki disini :( , Kalo bisa jangan berubah berubah min sampai ganti kartu berkali kali supaya dpt promo lumayan eh belum lama di gituin lagi;;
Hendro Prasetyo;5;29/03/2023 12:23;Super mantap....;;
Henyend Aulia;5;29/03/2023 12:18;Always helpfull... sejauh pakai aplikasi ini, entah untuk anter2 bepergian, beli barang dan makananpun memuaskan. driver2nya baik2 semua...;;
Andi Mandala ar;5;29/03/2023 12:18;gopartner Derever;;
F Martinus;4;29/03/2023 12:15;Membantu transportasi di kala mengejar waktu & memesan makan jadi mudah.;;
Herlina Nur Fadilah;1;29/03/2023 12:08;kenapa upgrade gopay plus sudah 1*24 jam belum ke upgrade jga;;
Fery Purnomo;5;29/03/2023 11:59;Membantu buat order;;
Yanto Keceh;1;29/03/2023 11:56;Buruk buat pembayaran sesama rekan ....terimaksih;;
Sugiono 123;5;29/03/2023 11:55;okk;;
